name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Hakan Calhanoglu;Bayer Leverkusen;tr;23;M(CLR),FW;178;76;27(4);2265;3;5;1;-;2.8;74.3;1.2;2;1.3;1.2;1;-;0.5;0.8;-;-;2.6;1;1;0.1;1.5;1.9;40.5;1.8;3;0.1
Marlon Frey;Bayer Leverkusen;de;21;DMC;180;78;2(7);243;-;-;1;-;1;70.6;0.8;-;0.4;0.8;0.6;-;0.4;0.3;-;-;0.1;0.2;0.3;-;-;0.1;9.4;-;1.1;-
Admir Mehmedi;Bayer Leverkusen;ch;26;AM(CLR),FW;183;78;14(14);1330;2;5;2;-;1;75.7;0.6;1;0.7;0.4;1;-;0.2;0.4;-;-;1.2;1.3;0.8;0.3;1.3;1;18.8;0.4;0.3;-
Karim Bellarabi;Bayer Leverkusen;de;27;AM(CLR),FW;183;80;31(2);2607;6;11;5;-;2.2;69.7;0.1;1;1.6;0.9;2;-;0.2;1.1;-;-;1.3;2.6;1.8;0.9;2.4;1.6;24.5;0.2;0.7;-
Chicharito;Bayer Leverkusen;mx;29;FW;175;73;25(3);2174;17;2;6;-;2.3;74.2;1.2;-;0.5;0.3;0.9;-;0.2;0.2;-;-;1;0.8;1.9;1.3;1.1;1.9;19.1;0.1;0.3;-
Julian Brandt;Bayer Leverkusen;de;21;AM(LR),FW;183;82;18(11);1626;9;3;-;-;1;75.9;0.9;2;0.5;0.6;0.4;-;0.1;0.6;-;-;1.2;1;0.7;0.2;1.6;1.4;23.8;0.4;0.7;0.1
Tin Jedvaj;Bayer Leverkusen;hr;21;D(CR);184;81;11(4);956;-;-;5;1;0.2;69.3;2.1;-;1.1;2.1;1;0.1;2.5;0.8;0.2;-;0.3;0.5;0.7;-;0.4;0.7;23.7;0.1;1.4;-
Charles Aránguiz;Bayer Leverkusen;cl;28;M(C);171;71;5(2);469;2;1;1;-;1.7;81.7;-;-;0.9;2.6;1.9;-;1.1;1.6;0.4;-;0.7;0.3;1.4;-;0.4;0.9;28.9;0.3;2.9;-
Kevin Kampl;Bayer Leverkusen;si;26;M(CLR);178;67;19(3);1746;3;2;4;-;1.3;82.1;0.9;-;1.8;2.8;1.5;-;0.6;1.1;0.3;-;0.9;1.2;0.7;-;1.2;1.2;47;0.1;2.2;0.2
Ragnar Klavan;Augsburg;ee;31;D(C);187;85;31;2787;-;-;2;-;0.3;85.3;2.3;1;1.3;1.4;0.8;0.4;5.8;0.3;0.9;-;0.2;0.3;0.5;-;0.1;0.2;48.4;0.1;4.1;-
Alexander Esswein;Augsburg;de;27;AM(LR);183;85;22(7);1809;3;1;1;-;1.6;71.5;0.9;1;1.3;1.2;1.1;-;0.2;0.6;-;-;1.1;1.1;1;0.4;0.5;1.1;17.4;0.5;0.3;-
Albian Ajeti;Augsburg;ch;20;Forward;183;77;0(1);36;-;-;-;-;-;66.7;1;-;1;-;2;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-
Halil Altintop;Augsburg;tr;34;AM(C),FW;186;75;15(4);1206;1;2;1;-;0.7;78.5;0.4;-;1.1;0.3;0.6;-;0.3;0.4;-;-;0.8;0.6;0.9;0.2;1.2;1.3;19.8;0.1;1.1;0.1
Alfred Finnbogason;Augsburg;is;28;FW;184;80;13(1);1133;7;1;3;-;2.4;69.2;1.4;-;1.1;1;1.6;-;0.7;0.6;0.1;-;1;0.6;0.6;0.8;1.4;1.5;20.6;-;0.5;-
Hong Jeong-ho;Augsburg;kr;28;D(C);186;80;19(4);1714;2;-;4;-;0.7;83.4;3;1;1;1.9;0.9;0.4;5;0.4;0.8;-;0.1;0.2;0.4;-;-;0.3;40;-;4.5;-
Daniel Opare;Augsburg;gh;26;D(LR);175;74;4;360;-;-;2;-;0.5;68.5;1.5;-;1.3;2.5;1.3;0.3;4.8;0.3;-;-;0.5;1;1.8;-;0.5;1.3;22.3;0.5;1;-
Jeffrey Gouweleeuw;Augsburg;nl;26;D(C);188;78;11;990;-;-;2;1;0.2;78.4;2.3;-;1.8;2.1;1.5;0.6;5.9;0.7;1;-;0.5;0.2;0.5;-;0.3;0.4;45.5;-;4.9;-
Tim Matavz;Augsburg;si;28;FW;188;81;3(8);369;-;-;1;-;1.2;59.4;1.6;-;0.7;-;0.4;-;-;0.4;-;-;0.4;0.4;1.1;0.5;0.7;0.6;6.3;0.1;-;-
Philipp Max;Augsburg;de;23;D(L),M(L);177;77;23(3);2085;-;-;3;-;0.3;73.3;0.9;-;2.1;2;1.1;0.1;2.2;1.2;0.2;-;0.6;0.2;0.6;-;0.3;0.9;27.5;0.7;1.7;-
Raúl Bobadilla;Augsburg;py;30;AM(R),FW;181;88;19(8);1816;4;2;2;1;2.3;76.7;1.1;1;1;0.6;1.6;-;0.4;0.5;0.1;-;1.1;1.9;2;0.9;2;2.3;17.6;0.5;0.7;-
Jan-Ingwer Callsen-Bracker;Augsburg;de;32;D(C);188;84;8(2);741;1;-;1;-;0.5;83.4;1.9;-;1.1;2.5;1.4;0.4;4.2;0.6;1.2;-;0.1;-;0.4;-;-;0.3;35.5;-;3.8;-
Ja-Cheol Koo;Augsburg;kr;28;M(CLR);183;78;24(3);2081;8;1;6;-;1.5;79.7;2.6;2;1.9;1.5;1.3;-;0.8;0.7;0.1;-;1;1.1;1.6;-;1.6;1.5;30.2;0.2;1.1;-
Piotr Trochowski;Augsburg;de;33;M(CL);169;72;2(4);152;-;-;-;-;1;79;0.3;-;0.5;-;0.7;-;-;-;-;-;0.5;-;0.8;-;0.2;0.5;13.5;0.2;0.3;-
Alexander Manninger;Augsburg;at;40;GK;189;85;1(1);93;-;-;-;-;-;62.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;4;-
Paul Verhaegh;Augsburg;nl;33;D(R);178;74;25;2200;6;2;8;-;0.4;80.4;1.4;1;1;2;0.6;0.3;2;0.4;0.4;1;0.6;0.2;0.7;-;0.4;0.4;42;0.4;3.5;-
Sascha Mölders;Augsburg;de;32;FW;187;82;0(4);26;-;-;-;-;0.5;28.6;0.3;-;0.3;-;1;-;-;-;-;-;-;-;-;-;0.3;-;1.8;-;-;-
Dominik Kohr;Augsburg;de;23;DMC;183;79;30(1);2512;-;3;12;-;0.8;77.5;2;-;2;3;2.1;0.1;2.4;1.4;0.5;-;0.3;0.4;1.4;-;0.7;0.5;36.1;-;2.6;-
Daniel Baier;Augsburg;de;33;M(C);176;77;28;2334;1;2;7;-;0.6;77;1.8;2;1.7;2.4;1.1;-;1.7;1;0.2;-;1.8;0.3;1.7;-;0.5;0.7;52.7;1;4.8;-
Caiuby;Augsburg;br;29;AM(L),FW;184;85;25(1);2218;4;5;11;-;2.6;64.1;7.6;3;1.5;1.3;2.5;-;1.6;0.8;0.4;-;1.5;1.7;1.4;0.3;1.6;1.8;28.6;0.3;0.8;-
Konstantinos Stafylidis;Augsburg;gr;23;D(L),M(L);178;77;8(3);686;1;-;2;-;0.9;73.2;1.5;1;1.9;2.2;0.9;0.3;2.9;0.5;0.4;-;0.4;0.5;0.5;-;0.5;0.5;24.5;0.5;2.7;-
Jan Morávek;Augsburg;cz;27;M(C);180;77;3(8);393;1;-;-;-;0.5;75.1;1.2;-;0.8;0.7;0.8;-;0.1;0.8;-;-;0.5;0.3;0.2;-;0.6;0.4;16.8;-;0.4;-
Marwin Hitz;Augsburg;ch;29;GK;193;86;33;2967;-;-;2;-;-;63.4;0.4;3;-;-;-;-;0.7;0.1;-;-;-;-;0.2;-;-;-;32.8;-;10.1;-
Tobias Werner;Augsburg;de;32;AM(L);175;70;7(6);700;-;1;2;-;1.7;64.7;0.8;-;0.5;1.5;0.6;-;0.5;0.4;-;-;1.3;0.2;0.6;0.2;0.2;1;11.5;0.6;0.9;-
Markus Feulner;Augsburg;de;35;D(LR),M(CR);183;82;11(9);1082;1;-;5;-;0.7;72.8;0.9;-;2.1;1;1.5;0.2;1.5;0.9;0.2;-;0.4;0.6;0.9;-;0.6;0.9;17.1;0.4;0.8;-
Christoph Janker;Augsburg;de;32;D(C);185;78;3(9);367;-;-;2;-;0.1;83.1;0.5;-;0.6;0.5;0.5;-;1.5;0.2;0.5;-;-;-;0.6;-;0.2;0.1;12.3;-;0.9;-
Dong-Won Ji;Augsburg;kr;26;AM(CL),FW;188;81;7(14);786;-;-;2;-;0.6;74.6;1;-;0.4;0.4;1.1;0.1;0.3;0.2;0.1;-;0.6;0.2;0.6;0.1;0.7;0.7;14.4;0.1;0.4;-
Gotoku Sakai;Hamburger SV;jp;26;D(LR),DMC;176;74;21(1);1891;-;1;2;-;0.5;74.6;1.4;-;2.2;2.8;0.8;0.2;2.3;1;0.2;-;0.5;0.9;0.5;-;0.5;0.7;36.6;0.4;2.5;-
Tom Mickel;Hamburger SV;de;28;Goalkeeper;185;84;1;90;-;-;-;-;-;69.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;11;-
Lewis Holtby;Hamburger SV;de;26;M(CLR);176;72;34;2908;3;2;4;-;0.9;78.4;1.6;1;2.9;2;2.2;-;1.2;1.2;0.1;-;1.3;1.3;1.8;0.1;1.1;1;50.4;0.7;4;-
Ivo Ilicevic;Hamburger SV;hr;30;M(CLR);174;63;24(7);2153;4;2;3;-;1.4;74.4;1.2;2;1.8;1.3;1.3;-;0.3;1.2;0.1;-;0.8;1.5;1.4;0.2;0.7;1.3;24.7;0.3;0.7;-
Gojko Kacar;Hamburger SV;rs;30;D(C),M(C);185;85;12(7);1120;1;-;3;-;0.4;76.7;1.8;-;1.9;1.7;1.4;-;1.1;1.1;0.2;-;0.1;0.1;0.7;0.1;0.4;0.6;28.1;-;0.8;0.1
René Adler;Hamburger SV;de;32;GK;191;85;24;2072;-;1;3;1;-;49.1;0.7;1;-;-;0.2;-;0.9;0.1;-;-;0.1;-;0.1;-;-;-;30.9;-;7.9;-
Emir Spahic;Hamburger SV;ba;36;D(C);186;81;26;2268;-;1;7;1;0.3;76.4;3.8;2;1.7;3.1;1.2;0.9;5.3;0.5;0.5;-;0.1;0.3;0.3;-;0.2;0.5;50.4;-;4.1;-
Batuhan Altintas;Hamburger SV;tr;21;FW;190;85;0(1);26;-;-;1;-;1;66.7;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-
Josip Drmic;Hamburger SV;ch;25;AM(LR),FW;183;81;5(1);420;1;-;2;-;1;61.2;1.8;-;1.2;1.5;0.7;-;0.7;1.7;0.2;-;0.7;1;0.5;0.2;1.2;2;22.3;-;0.5;-
Nabil Bahoui;Hamburger SV;se;26;Forward;188;84;2(4);210;-;-;1;-;0.5;68.8;0.3;-;1.5;0.3;1.5;-;0.3;0.2;0.2;-;0.3;0.8;0.2;-;1.2;0.8;8;0.8;0.8;-
Ivica Olic;Hamburger SV;hr;37;AM(LR),FW;182;85;0(9);168;-;-;-;-;0.6;65.9;0.4;-;0.1;-;0.6;-;0.3;0.3;-;-;0.1;0.1;-;0.1;-;0.2;4.9;-;-;-
Aaron Hunt;Hamburger SV;de;30;M(CR),FW;183;73;19(2);1659;1;2;2;-;1.1;75.1;1.1;1;1.2;1;1.2;-;0.3;0.6;0.1;1;1.9;1;1.7;0.2;1;1.3;36.8;1.1;1.9;-
Michael Gregoritsch;Hamburger SV;at;23;AM(CR),FW;193;87;15(10);1434;5;2;6;-;2;63.2;4.3;1;0.7;1.2;1.1;0.1;0.7;0.8;0.2;-;0.8;0.2;1.2;-;0.9;1.6;22.8;-;0.4;-
Pierre-Michel Lasogga;Hamburger SV;de;25;FW;189;88;21(9);1755;8;2;5;-;1.8;69;2.8;2;0.3;0.1;1.7;-;1.1;0.5;0.1;-;0.6;0.6;1;0.6;1.1;1.3;15.9;-;0.4;-
Johan Djourou;Hamburger SV;ch;30;D(C);191;87;26;2293;2;-;6;1;0.3;82.9;2.7;-;1.7;1.7;1.5;0.9;5;0.3;0.8;-;0.1;0.1;0.5;-;0.3;0.2;42.8;-;5.2;-
Zoltán Stieber;Hamburger SV;hu;28;AM(CLR);175;67;0(2);6;-;-;-;-;-;100;-;-;-;0.5;-;-;-;-;-;-;-;-;-;-;-;0.5;1.5;-;0.5;-
Marcelo Díaz;Hamburger SV;cl;30;DMC;166;63;4(7);460;-;-;1;-;0.9;86.2;0.4;-;0.8;0.8;0.7;0.1;0.5;1;-;-;0.5;0.4;0.5;-;0.2;0.4;34.3;-;2.4;-
Sven Schipplock;Hamburger SV;de;28;FW;186;84;9(11);921;-;4;3;-;0.6;65.1;1.9;-;0.6;0.5;1.6;-;0.7;0.5;0.1;-;0.7;0.3;1.2;0.2;0.3;1.1;12.8;-;0.1;-
Gideon Jung;Hamburger SV;de;22;D(C),DMC;189;76;13(6);1177;-;-;4;-;0.5;76.5;1.7;-;1.1;1.7;1.1;0.1;0.8;0.3;0.2;-;0.2;0.6;1.2;0.1;0.8;0.4;24.4;-;1.5;-
Ahmet Arslan;Hamburger SV;de;23;Midfielder;179;77;0(1);1;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-
Jaroslav Drobny;Hamburger SV;cz;37;GK;192;90;9(1);846;-;1;1;-;-;51.7;0.2;1;-;-;-;-;0.4;-;-;-;0.1;0.1;0.1;-;-;-;28.6;-;8.9;-
Albin Ekdal;Hamburger SV;se;28;M(C);186;75;14;1143;-;-;4;-;0.4;76.9;3.4;1;1.9;3;1.9;0.1;1.6;1.1;0.1;1;0.3;0.9;2.7;-;0.6;0.6;43.9;-;1.6;-
Dennis Diekmeier;Hamburger SV;de;27;D(R);188;79;15(7);1442;-;-;1;-;0.2;78.8;0.9;-;1.5;1.5;0.5;0.1;1.1;0.6;0.2;-;0.5;0.7;0.8;0.1;0.4;1;22.1;0.5;0.9;-
Artjoms Rudnevs;Hamburger SV;lv;29;FW;183;81;6(5);600;2;1;1;-;1.4;60.4;1.9;-;0.4;0.1;1.2;-;0.8;0.1;0.2;-;0.4;0.1;0.5;0.6;0.7;1.9;14.5;0.1;0.4;-
Cléber;Hamburger SV;br;26;D(C);183;87;15(8);1467;1;-;2;-;0.7;77.9;3.2;1;1.9;2.6;1;0.6;3.8;0.7;0.5;-;-;0.7;0.7;-;0.2;0.4;32.8;-;2.5;-
Matthias Ostrzolek;Hamburger SV;de;27;D(L),DMC;178;72;32;2836;-;2;5;-;0.4;68.9;1.6;-;2.1;2.5;0.8;0.3;1.8;0.4;0.3;-;0.8;0.6;1.8;-;0.5;1.1;39.7;0.4;3;-
Nicolai Müller;Hamburger SV;de;29;M(CLR),FW;173;66;27(2);2163;9;5;6;-;1.3;68.2;1.2;2;2;1.1;2;-;0.4;1.5;-;-;1;1.2;1.1;0.3;0.8;1.6;21.9;0.1;0.2;-
Yunus Malli;Mainz 05;tr;25;AM(CL),FW;179;70;33(1);2796;11;4;-;-;1.9;73.3;0.5;3;0.5;0.4;0.5;-;0.2;0.4;-;-;1.3;1.7;1.3;0.3;1;1.5;25.6;0.1;0.7;0.1
Gonzalo Jara;Mainz 05;cl;31;D(CR),DMC;178;77;5(1);445;-;-;1;-;0.2;80;0.7;-;0.8;1.5;0.8;-;2;0.8;0.3;-;0.3;0.5;0.5;0.2;1;1.2;35.8;-;3.5;-
Ja-Cheol Koo;Mainz 05;kr;28;M(CLR);183;78;0(2);17;-;-;-;-;-;66.7;0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;0.5;-;4.5;0.5;-;-
Stefan Bell;Mainz 05;de;25;D(CR);192;88;29(1);2635;1;2;3;-;0.8;79.1;3.4;-;1.4;3;1.6;0.8;5.2;0.6;0.7;1;0.2;0.4;0.5;-;0.1;0.5;52;-;5.1;-
Daniel Brosinski;Mainz 05;de;29;D(LR),M(R);178;70;24(6);2243;1;3;3;-;0.5;69.3;2;-;1.6;1.2;0.5;0.2;2.3;0.5;0.2;-;0.8;0.6;1;-;0.3;0.5;33.9;0.7;2.8;-
Leon Balogun;Mainz 05;ng;29;D(CR);190;88;17(4);1511;1;-;4;-;0.6;75.6;3.4;1;2;2.8;1.1;0.4;5.2;0.5;0.6;-;0.3;0.5;0.7;-;0.4;0.4;31.2;-;2.2;-
Devante Parker;Mainz 05;de;21;Midfielder;175;66;0(1);1;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-
Christoph Moritz;Mainz 05;de;27;M(CR);186;80;3(5);246;-;-;-;-;0.1;83.7;1.1;-;1.8;0.5;0.9;-;0.1;0.9;0.4;-;-;0.3;0.3;-;0.3;0.8;15.4;-;0.5;-
Yoshinori Muto;Mainz 05;jp;25;FW;179;72;18(2);1497;7;2;2;-;1.7;64.6;2.2;2;1.2;0.7;2.3;-;0.1;0.6;-;-;0.7;1.2;1.1;1.2;1.4;1.7;13.6;0.1;0.3;-
Loris Karius;Mainz 05;de;24;GK;189;75;34;3060;-;-;1;-;-;54.1;0.3;1;-;0.1;-;-;0.7;0.1;-;-;-;-;0.1;-;-;-;32.4;-;7.6;-
Fabian Frei;Mainz 05;ch;28;M(C);183;77;11(7);962;-;2;1;-;0.6;76.3;1.3;-;1.3;1.8;1.2;-;1.3;0.6;0.4;-;0.5;0.3;0.2;-;0.3;0.4;24.4;0.2;1.5;-
Karim Onisiwo;Mainz 05;at;25;AM(LR);188;76;3(6);331;1;1;1;-;1.2;62.5;0.6;1;2;0.4;1;-;0.2;0.6;-;-;0.6;0.8;1;0.1;0.6;1.1;7.1;0.2;0.2;-
Philipp Klement;Mainz 05;de;24;Midfielder;174;71;0(2);28;-;-;-;-;0.5;85;-;-;0.5;-;-;-;-;0.5;-;-;-;0.5;-;-;0.5;-;10;-;-;0.5
Jhon Córdoba;Mainz 05;co;24;FW;185;85;14(8);1389;5;2;2;-;1.4;75.6;2.4;1;0.5;0.4;2.4;-;0.4;0.3;-;-;0.5;1.2;2.9;1.4;1.5;2.7;12.3;-;0.3;-
Pierre Bengtsson;Mainz 05;se;29;D(L);177;72;14(2);1274;-;-;1;-;0.3;69;1.8;-;1.1;1.5;0.9;0.2;2.4;0.6;0.2;-;0.5;0.3;0.8;0.1;0.4;0.6;34.1;0.3;1.8;-
Julian Baumgartlinger;Mainz 05;at;29;DMC;183;82;30(1);2716;2;1;7;-;0.4;83.5;2.4;-;3.7;2.5;1.9;-;1.9;2.2;0.3;-;0.7;0.5;1.8;-;0.7;1;48.2;-;2.7;-
Alexander Hack;Mainz 05;de;23;D(C);193;88;7;630;-;-;1;-;0.4;81.2;3.7;-;2.4;3;0.6;0.6;4.3;0.7;0.6;-;0.1;1;0.6;-;0.3;0.1;57.7;-;5.6;-
Jairo Samperio;Mainz 05;es;24;M(LR);173;69;26(5);2307;7;5;5;-;1.3;64.8;1;1;0.8;1.5;1.2;-;0.3;1.2;0.1;-;1;1.8;1.6;0.3;2.3;1.9;20;0.1;0.5;0.2
Suat Serdar;Mainz 05;de;20;DMC;183;75;2(10);200;-;-;-;-;0.3;81.8;0.3;-;0.6;0.7;0.7;-;0.2;0.4;-;-;0.1;0.4;0.3;-;0.1;0.3;6.4;-;0.8;-
Giulio Donati;Mainz 05;it;27;D(R);178;76;11;935;-;1;4;1;-;66.5;1.2;1;2.3;2.4;1.5;0.2;2.4;1.1;0.3;-;0.5;0.8;2.5;0.1;0.5;0.7;33.1;0.2;3.4;-
Maximilian Beister;Mainz 05;de;26;AM(LR),FW;180;81;0(1);5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-
Joo-Ho Park;Mainz 05;kr;30;D(L),DMC;176;73;1;90;-;-;-;-;-;91.9;-;-;6;3;1;2;2;1;-;-;-;2;1;-;1;-;37;1;3;-
Pablo De Blasis;Mainz 05;ar;29;AM(LR);166;65;18(8);1646;4;4;1;-;1.2;67.2;1.1;1;1.9;1.1;1;-;0.6;1.6;0.1;-;0.9;1.2;1.2;0.3;0.9;1.3;22.3;0.2;0.9;-
Florian Niederlechner;Mainz 05;de;26;FW;186;86;1(11);177;-;-;2;-;0.4;45.7;0.3;-;0.3;0.3;1;-;0.1;0.2;-;-;-;0.1;0.3;0.3;0.3;0.9;2.9;-;0.1;-
Christian Clemens;Mainz 05;de;26;M(LR);179;79;20(8);1723;5;3;1;-;1.6;66.7;0.3;1;1.1;1;1;-;0.4;1.5;-;-;1.1;0.6;0.8;-;0.5;1.1;16;0.9;0.5;-
Danny Latza;Mainz 05;de;27;DMC;179;76;20(7);1863;-;2;8;-;1;80.6;2;-;2.5;2.1;1.6;-;1.3;1.4;0.3;-;1.2;0.4;1.3;-;0.4;0.9;43.8;0.9;2.7;-
Gaëtan Bussmann;Mainz 05;fr;26;D(L);184;79;13;1170;1;-;3;-;0.5;61.6;2;1;2.7;3.2;1.3;0.3;2.6;1.5;0.4;-;0.8;0.4;0.7;0.2;0.3;0.7;33.1;0.2;2.1;-
Niko Bungert;Mainz 05;de;30;D(C);188;75;20(1);1747;-;-;2;-;0.2;83.2;3.4;-;1.1;2.3;0.8;0.9;3.4;0.4;0.6;-;-;-;0.8;-;-;0.2;41.4;-;3.2;-
Elkin Soto;Mainz 05;co;37;M(C);179;76;0(1);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Josuha Guilavogui;Wolfsburg;fr;26;M(C);187;77;26(4);2330;2;-;3;-;0.8;88.1;1.6;1;2.3;3;2;0.1;1.1;0.7;0.3;-;0.7;0.6;0.8;0.2;0.8;0.9;48.3;-;3.2;-
Marcel Schäfer;Wolfsburg;de;33;D(L),M(L);184;75;14(7);1305;1;2;1;-;0.6;78.7;1.6;1;1;0.7;0.4;0.2;0.8;0.2;0.2;-;1.6;0.4;0.5;-;0.1;0.5;27.3;1.8;0.8;-
Ricardo Rodríguez;Wolfsburg;ch;24;D(CL);181;78;23(1);2067;2;3;3;-;1.1;83.1;2;1;1.5;1.8;1;0.3;1.7;0.6;0.5;-;1.5;0.8;0.7;-;0.6;0.5;55.1;1.4;4.8;-
Luiz Gustavo;Wolfsburg;br;30;D(C),M(C);187;80;22;1810;1;2;8;-;1;88.3;1.2;1;2.1;2;1.9;-;0.7;0.8;-;-;0.3;0.6;1.3;-;1.3;1;49.5;-;3.5;-
Ivan Perisic;Wolfsburg;hr;28;AM(CLR);187;80;2;164;1;-;-;-;1.5;75.6;1;-;1.5;-;0.5;-;0.5;0.5;-;-;1.5;0.5;0.5;1;0.5;0.5;39;0.5;2.5;-
Max Kruse;Wolfsburg;de;29;M(CR),FW;180;76;28(4);2427;6;6;3;-;1.9;82.3;0.6;2;0.3;0.3;0.6;-;-;0.4;-;-;1.7;1.2;0.7;0.2;1;1.7;34.4;0.3;2.6;0.1
Kevin De Bruyne;Wolfsburg;be;26;AM(CLR),FW;181;68;2;165;-;-;1;-;2;74;-;-;-;1;2;-;-;0.5;-;-;0.5;2.5;0.5;-;2.5;1.5;48;2;2.5;-
Sebastian Jung;Wolfsburg;de;27;D(R);179;72;5(6);520;-;1;1;-;0.4;82;0.9;-;1.1;1;0.5;0.2;0.7;0.4;0.2;-;1.1;0.6;0.5;-;0.4;0.5;27.8;0.5;2;-
Julian Draxler;Wolfsburg;de;23;AM(CLR);187;76;19(2);1522;5;5;4;1;1.6;83.4;1;1;0.8;0.7;0.9;-;0.4;0.7;-;-;1.7;2.6;0.8;0.1;1.1;0.9;32.5;0.7;2.4;0.1
André Schürrle;Wolfsburg;de;26;M(LR),FW;184;73;21(8);1904;9;3;5;-;2.4;78.5;0.8;2;0.9;0.8;0.8;-;0.2;0.7;0.1;-;0.7;1.1;1;0.4;0.5;1.1;24.4;0.2;0.7;-
Dante;Wolfsburg;br;33;D(C);188;87;23;2065;1;-;4;2;0.7;87.5;3;-;1.7;2.6;1.6;0.9;3.7;0.7;0.7;-;0.2;0.1;0.8;-;0.1;0.3;73.1;-;5.1;-
Leandro Putaro;Wolfsburg;de;20;Forward;187;77;0(4);44;-;-;-;-;0.3;72.7;-;-;-;0.3;0.3;-;-;-;-;-;-;0.3;-;-;-;-;2.8;-;-;-
Aaron Hunt;Wolfsburg;de;30;M(CR),FW;183;73;1(1);82;-;-;-;-;-;82.4;-;-;0.5;-;1;-;-;0.5;-;-;0.5;0.5;2.5;-;0.5;1;34;-;1.5;-
Diego Benaglio;Wolfsburg;ch;33;GK;194;89;21;1890;-;-;1;-;-;77.2;0.2;-;-;-;-;-;0.5;0.1;-;-;-;-;0.1;-;-;-;28.9;-;6.5;-
Paul Seguin;Wolfsburg;de;22;DMC;186;79;2(2);177;-;-;-;-;0.5;75.4;0.8;-;0.5;0.3;-;-;0.3;1.3;-;-;0.3;-;0.3;0.3;0.5;1;16.3;0.3;0.5;-
Christian Träsch;Wolfsburg;de;29;D(R),M(C);180;75;23(6);2070;-;1;2;-;0.3;79.5;1.3;1;2.4;1.8;1;0.4;2;1.5;0.1;-;0.9;0.7;1.2;-;0.5;0.9;49;0.8;3.7;-
Daniel Caligiuri;Wolfsburg;de;29;M(LR),FW;182;80;20(9);1825;2;5;4;-;1.4;78;0.7;2;1.8;1.1;1.5;-;0.3;0.8;0.1;-;1.1;1.9;1.7;0.2;1.5;1.2;26.5;0.4;1.1;-
Naldo;Wolfsburg;br;34;D(C);198;91;29;2596;-;1;2;-;1.7;87.3;4;1;1.6;2.5;1.1;0.8;4.2;0.6;0.6;-;0.3;0.4;0.8;-;0.2;0.4;63.5;-;5.2;-
Nicklas Bendtner;Wolfsburg;dk;29;FW;193;84;4(9);414;2;-;2;-;0.7;63.9;0.9;-;0.3;-;0.5;-;0.2;0.2;0.1;-;0.2;0.1;0.3;0.2;0.6;0.2;8.3;-;0.2;-
Koen Casteels;Wolfsburg;be;25;GK;197;86;13;1170;-;-;1;-;-;70.3;0.5;-;-;-;0.1;-;0.5;0.1;-;-;-;-;0.1;-;-;0.1;31.8;-;8.4;-
Carlos Ascues;Wolfsburg;pe;25;D(C);187;78;0(1);8;-;-;-;-;-;71.4;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;7;-;1;-
Bas Dost;Wolfsburg;nl;28;FW;196;78;14(8);1368;8;2;-;-;1.8;75.9;3.1;-;0.1;0.1;0.7;-;0.7;0.2;-;-;0.6;0.2;0.4;0.5;0.4;0.8;18.3;-;0.5;-
Timm Klose;Wolfsburg;ch;29;D(C);193;87;7(1);633;1;-;1;-;0.5;89.6;2.1;-;1.3;2.1;0.6;1.4;3.1;0.8;0.3;-;0.1;0.4;0.6;-;-;0.5;60.4;-;6.9;-
Robin Knoche;Wolfsburg;de;25;D(C);190;77;9(2);817;1;-;1;-;0.2;86.2;2.1;1;1.5;2.3;0.8;0.5;3.2;0.5;0.4;-;0.3;0.2;0.4;-;-;0.1;55.8;-;2.8;-
Ismail Azzaoui;Wolfsburg;ma;19;Midfielder;179;72;0(2);20;-;-;-;-;-;77.8;-;-;0.5;-;0.5;-;-;0.5;-;-;-;1;-;-;-;-;4.5;-;-;-
Francisco Rodríguez;Wolfsburg;ch;21;AM(C);178;78;0(1);8;-;-;-;-;-;84.2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;19;-;2;-
Vieirinha;Wolfsburg;pt;31;D(R),M(LR);172;73;22(4);1904;1;5;3;-;1.1;77.7;1;2;1.8;2.5;0.4;0.2;1;1.3;0.3;-;1.3;1;2.1;0.3;0.7;0.7;43.6;1.1;3.3;-
Bruno Henrique;Wolfsburg;br;26;AM(CLR),FW;184;71;2(5);250;-;1;1;-;0.6;68.8;1.4;-;0.3;0.3;1.6;-;-;0.6;-;-;0.6;1.4;1.4;0.3;0.6;0.7;11;-;0.3;-
