name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Per Skjelbred;Hertha Berlin;no;30;M(CR);175;74;31;2695;-;2;9;-;0.1;84.6;1.9;-;1.8;2.6;2;0.1;0.9;1;0.2;-;0.3;0.6;1.1;-;0.5;0.6;50.8;-;3.2;-
Mitchell Weiser;Hertha Berlin;de;23;D(R),M(R);176;67;27(2);2431;2;4;7;-;0.5;72;1;1;2.2;1.7;1;0.1;0.9;1;0.1;-;0.7;1.7;2.2;0.1;1.6;2.2;33.5;0.3;1.3;-
Vedad Ibisevic;Hertha Berlin;ba;33;FW;188;82;25(1);2099;10;4;5;1;2.4;67.4;4.1;4;0.6;0.3;1.8;-;0.5;0.3;0.1;-;0.8;0.7;1.6;0.9;1.5;2.2;22.3;-;0.7;-
Roy Beerens;Hertha Berlin;nl;29;AM(LR);173;63;2;111;-;-;-;1;0.5;72.7;-;-;-;0.5;1;-;-;1;-;-;-;1;1;-;1.5;0.5;11;1;-;-
Ronny;Hertha Berlin;br;31;AM(C);175;74;0(1);28;-;-;-;-;2;80;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;10;-;2;-
John Brooks;Hertha Berlin;us;24;D(C);193;78;20(3);1808;1;1;3;-;0.4;84.4;2.9;2;1;1.7;1;0.7;3.7;0.4;0.3;-;0.1;0.2;0.9;0.1;0.2;0.3;53.6;-;7;-
Niklas Stark;Hertha Berlin;de;22;D(C),DMC;190;81;15(6);1409;2;-;2;1;0.7;86.5;2;-;0.8;1.1;1.1;0.3;3.1;0.3;0.5;-;-;0.2;1.3;0.2;0.2;0.3;37.9;-;3.4;-
Tolga Cigerci;Hertha Berlin;tr;25;M(CLR);185;75;13(5);1033;-;2;2;-;1.4;83.3;1.1;-;1.3;1.8;0.9;0.1;0.8;0.7;0.1;-;0.6;0.9;1;0.1;0.8;0.8;36;0.3;2.6;-
Salomon Kalou;Hertha Berlin;ci;32;AM(CLR),FW;184;77;30(2);2535;14;2;2;-;1.7;76.9;1.6;3;0.5;0.6;1.3;-;0.5;0.5;0.2;-;0.7;1.6;1.3;0.5;2.3;1.7;21.1;0.1;0.4;-
Florian Kohls;Hertha Berlin;de;22;Midfielder;173;69;0(1);7;-;-;-;-;1;33.3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-
Thomas Kraft;Hertha Berlin;de;29;GK;187;78;6;496;-;-;-;-;-;58.5;0.7;-;-;-;-;-;1;0.3;-;-;-;-;0.5;-;0.2;-;37.3;-;9.3;-
Fabian Lustenberger;Hertha Berlin;ch;29;D(C),M(C);180;70;30;2537;1;-;5;-;0.3;86.1;2.2;1;2.2;1.8;0.8;0.3;2.9;0.7;0.4;-;0.3;-;1.4;-;0.2;0.6;48.2;-;4.4;-
Julian Schieber;Hertha Berlin;de;28;FW;186;83;0(6);137;-;1;1;-;0.3;48.7;1.8;-;-;0.2;0.8;-;0.2;0.2;-;-;0.3;-;0.5;-;0.5;0.7;6.5;-;-;-
