Name;Verein;Pos;Preis;PI_2016;DN_2016
Petsos;Bremen;MIT;0,8;1;4
Petersen;Freiburg;STU;2,4;83;3,5
Pekarik;Hertha;ABW;2,4;47;3,7
Pavlenka;Bremen;TOR;2,2;;
Pavard;Stuttgart;ABW;1,8;;
Passlack;Dortmund;ABW;1,2;4;4
Parker;Augsburg;MIT;0,3;0;
Park;Dortmund;ABW;0,6;-3;5
Papadopoulos;HSV;ABW;2,8;70;3,1
Palacios Martinez;Leipzig;STU;0,3;-3;4,5
Öztunali;Mainz;MIT;2;53;3,8
Özcan;Stuttgart;MIT;1,2;;
Özcan;Leverkusen;TOR;1;0;
Özcan;Köln;MIT;0,6;8;4
Oxford;Gladbach;ABW;1,8;;
Ostrzolek;Hannover;ABW;1,7;5;4
Osimhen;Wolfsburg;STU;0,6;-2;4,5
Osako;Köln;STU;3,2;136;3,1
Orban;Leipzig;ABW;3;127;3
Opare;Augsburg;ABW;0,8;0;
Onisiwo;Mainz;STU;1;3;4,1
Onguené;Stuttgart;ABW;1,5;;
Olkowski;Köln;ABW;1,5;26;3,5
Ofori;Stuttgart;MIT;1,8;;
Oczipka;Schalke;ABW;2,5;94;3,4
Ochs;Hoffenheim;MIT;0,6;-3;4,5
Nübel;Schalke;TOR;0,5;0;
Ntep;Wolfsburg;MIT;2;14;3,7
Nordtveit;Hoffenheim;ABW;2,5;;
Niedermeier;Freiburg;ABW;1,4;0;5
Niederlechner;Freiburg;STU;2,7;119;3,4
Nicolas;Gladbach;TOR;0,2;0;
Neuer;Bayern;TOR;4,5;147;2,9
Ndenge;Gladbach;MIT;0,3;0;
Nastasic;Schalke;ABW;3;43;3,5
Nartey;Köln;MIT;0,8;;
Naldo;Schalke;ABW;3,2;48;3,4
Mvogo;Leipzig;TOR;1,8;;
Muto;Mainz;STU;2,4;48;3,5
Müller;Bayern;MIT;7;94;3,4
Müller;HSV;MIT;3;59;3,8
Müller;Köln;TOR;0,2;6;3
Müller;Mainz;TOR;0,2;0;
Moravek;Augsburg;MIT;0,8;2;4,1
Mor;Dortmund;MIT;1,6;6;3,9
Moisander;Bremen;ABW;2,6;68;3,4
Mittelstädt;Hertha;ABW;0,7;-1;4,3
Mickel;HSV;TOR;0,4;8;2
